Name,strength,dose form,Packaging,Container
Halothane,,inhalation,,
Ketamine HCL,50 mg/mL,injection,10 mL,ampoule
Thiopentone sodium,,injection,0.5 g,vial
Ether,,inhalation,,
Nitrous oxide,,medical gas,,
Lignocaine HCL,1%,injection,25 ml,vial
Lignocaine HCL + adrenaline,2% + 1/80000,dental catridge,2.2 mL,
Lignocaine HCL + glucose,5% + 7.5%,injection,,
Lignocaine HCL,2%,gel,30 g,tube
Lignocaine HCL,2%,injection,20 mL,vial
Lignocaine HCL,10%,spray,,
Atropine Sulphate,0.6 mg/mL,injection,1 mL,ampoule
Diazepam,5 mg/mL,injection,1 mL,ampoule
Morphine Sulphate,15 mg/mL,injection,1 mL,ampoule
Pethidine HCL,50 mg/mL,injection,2 mL,ampoule
Diazepam,5 mg,tablet,,
Promethazine,25 mg,tablet,,
Promethazine HCL,5 mg/5 mL,elixir,,
Promethazine HCL,25 mg/mL,injection,2 mL,ampoule
Morphine Sulphate,10 mg,tablet,,
Aspirin,300 mg,tablet,,
Paracetamol,500 mg,tablet,,
Diclofenac sodium,25 mg,tablet,,
Ibuprofen,200 mg,tablet,,
Indomethacin,25 mg,tablet,,
Mefenamic acid,250 mg,capsule,,
Codeine Phosphate,15 mg,tablet,,
Dihydrocodeine tartrate,30 mg,tablet,,
Naloxone HCL,0.02 mg/mL,injection,2 mL,ampoule
Morphine Sulphate,5 mg/5 mL,solution,,
Tramadol,50 mg,capsule,,
Chlorpheniramine maleate,4 mg,tablet,,
Chlorpheniramine maleate,10 mg/ml,injection,,ampoule
Promethazine HCL,5 mg/ mL,elixir,,
Cetrizine,10 mg,tablet,,
Beclomethasone dipropionate,,nasal spray,,
Ipecacuanha,,emetic mixture,,
Atropine Sulphate,0.6 mg/mL,injection,1 ML,ampoule
Acetylcysteine,200 mg/mL,injection,10 mL,ampoule
Activated charcoal,,powder,,
Desferrioxamine,500 mg,injection,,
Pralidoxime mesylate,200 mg/mL,injection,5 mL,ampoule
Paraldehyde,,injection,10 mL,ampoule
Phenobarbitone sodium,30 mg,tablet,,
Phenobarbitone sodium,200 mg/mL,injection,1 mL,ampoule
Diazepam,5 mg/mL,injection,2 mL,ampoule
Magnesium Sulphate,500 mg/mL,injection,2 mL,ampoule
Pheytoin sodium,100 mg,tablet,,
Phenytoin sodium,50 mg/ml,injection,,ampoule
Carbamazepine,200 mg,tablet,,
Sodium valproate,200 mg,tablet,,
Ethosuximide,250 mg,capsule,,
Albendazole,200 mg,tablet,,
Niclosamide,500 mg,tablet,,
Ivermectin,6 mg,tablet,,
Praziquantel,600 mg,tablet,,
